temporada,fecha,rival,rol,numeroCamiseta,jugador_correcto,ingresoPor_correcto,jugador_incorrecto
2015,2015-10-11,VICENTE LOPEZ,SUPLENTE,,FRANCO CORSI,AGUSTIN DOMINGUEZ,ANDRES BIRELLO
2016,2016-08-20,ST BRENDAN'S,TITULAR,6,FRANCO CORSI,,
